"#Event name"  :  "Category"
"DYNAMIC_VPN_LICENSE_EXHAUSTED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_FREED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_FREE_FAILED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_FREE_OK_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_GET_FAILED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_GET_OK_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_INSTALLED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_REQUIRED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_UNINSTALLED_LS"  :  "vpn_cp"
"RT_IPSEC_AUTH_FAIL_LS"  :  "vpn"
"RT_IPSEC_BAD_SPI_LS"  :  "vpn_cp"
"RT_IPSEC_DECRYPT_BAD_PAD_LS"  :  "vpn_cp"
"RT_IPSEC_PV_DECRYPTION_LS"  :  "vpn_cp"
"RT_IPSEC_PV_ENCRYPTION_LS"  :  "vpn_cp"
"RT_IPSEC_PV_REPLAY_LS"  :  "vpn_cp"
"RT_IPSEC_PV_SYM_KEYGEN_LS"  :  "vpn_cp"
"RT_IPSEC_REPLA_LS"  :  "vpn_cp"
"LOGIN_ABORTED"  :  "system"
"LOGIN_FAILED"  :  "system"
"LOGIN_FAILED_LIMIT"  :  "system"
"LOGIN_FAILED_SET_CONTEXT"  :  "system"
"LOGIN_FAILED_SET_LOGIN"  :  "system"
"LOGIN_HOSTNAME_UNRESOLVED"  :  "system"
"LOGIN_INFORMATION"  :  "system"
"LOGIN_MALFORMED_USER"  :  "system"
"LOGIN_PAM_AUTHENTICATION_ERROR"  :  "system"
"LOGIN_PAM_ERROR"  :  "system"
"LOGIN_PAM_MAX_RETRIES"  :  "system"
"LOGIN_PAM_STOP"  :  "system"
"LOGIN_PAM_USER_UNKNOWN"  :  "system"
"LOGIN_PASSWORD_EXPIRED"  :  "system"
"LOGIN_REFUSED"  :  "system"
"LOGIN_ROOT"  :  "system"
"LOGIN_TIMED_OUT"  :  "system"
"LOGIN_ABORTED_LS"  :  "system"
"LOGIN_FAILED_LS"  :  "system"
"LOGIN_FAILED_LIMIT_LS"  :  "system"
"LOGIN_FAILED_SET_CONTEXT_LS"  :  "system"
"LOGIN_FAILED_SET_LOGIN_LS"  :  "system"
"LOGIN_HOSTNAME_UNRESOLVED_LS"  :  "system"
"LOGIN_INFORMATION_LS"  :  "system"
"LOGIN_MALFORMED_USER_LS"  :  "system"
"LOGIN_PAM_AUTHENTICATION_ERROR_LS"  :  "system"
"LOGIN_PAM_ERROR_LS"  :  "system"
"LOGIN_PAM_MAX_RETRIES_LS"  :  "system"
"LOGIN_PAM_STOP_LS"  :  "system"
"LOGIN_PAM_USER_UNKNOWN_LS"  :  "system"
"LOGIN_PASSWORD_EXPIRED_LS"  :  "system"
"LOGIN_REFUSED_LS"  :  "system"
"LOGIN_ROOT_LS"  :  "system"
"LOGIN_TIMED_OUT_LS"  :  "system"
"AV_HUGE_FILE_DROPPED_MT"  :  "antivirus"
"AV_HUGE_FILE_DROPPED_MT_LS"  :  "antivirus"
"AV_HUGE_FILE_NOT_SCANNED_MT"  :  "utm_cp"
"AV_HUGE_FILE_NOT_SCANNED_MT_LS"  :  "utm_cp"
"AV_MANY_MSGS_DROPPED_MT"  :  "antivirus"
"AV_MANY_MSGS_DROPPED_MT_LS"  :  "antivirus"
"AV_MANY_MSGS_NOT_SCANNED_MT"  :  "utm_cp"
"AV_MANY_MSGS_NOT_SCANNED_MT_LS"  :  "utm_cp"
"AV_MEMORY_INSUFFICIENT_MT"  :  "utm_cp"
"AV_MEMORY_INSUFFICIENT_MT_LS"  :  "utm_cp"
"AV_SCANNER_DROP_FILE_MT"  :  "utm_cp"
"AV_SCANNER_ERROR_SKIPPED_MT"  :  "utm_cp"
"AV_VIRUS_DETECTED_MT"  :  "antivirus"
"CONTENT_FILTERING_BLOCKED_MT"  :  "contentfilter"
"CONTENT_FILTERING_BLOCKED_MT_LS"  :  "contentfilter"
"AV_VIRUS_DETECTED_MT_LS"  :  "antivirus"
"AV_SCANNER_DROP_FILE_MT_LS"  :  "utm_cp"
"AV_SCANNER_ERROR_SKIPPED_MT_LS"  :  "utm_cp"
"APPPXY_SESSION_ABORT_MT"  :  "utm"
"APPPXY_SESSION_ABORT_MT_LS"  :  "utm"
"APPPXY_RESOURCE_OVERUSED_MT"  :  "utm"
"APPPXY_RESOURCE_OVERUSED_MT_LS"  :  "utm"
"AV_VIRUS_DETECTED"  :  "antivirus"
"AV_VIRUS_DETECTED_LS"  :  "antivirus"
"WEBFILTER_URL_BLOCKED"  :  "webfilter"
"WEBFILTER_URL_BLOCKED_LS"  :  "webfilter"
"WEBFILTER_URL_PERMITTED"  :  "webfilter"
"WEBFILTER_URL_PERMITTED_LS"  :  "webfilter"
"WEBFILTER_REQUEST_NOT_CHECKED"  :  "utm_cp"
"WEBFILTER_REQUEST_NOT_CHECKED_LS"  :  "utm_cp"
"WEBFILTER_SERVER_CONNECTED"  :  "utm_cp"
"WEBFILTER_SERVER_CONNECTED_LS"  :  "utm_cp"
"WEBFILTER_SERVER_DISCONNECTED"  :  "utm_cp"
"WEBFILTER_SERVER_DISCONNECTED_LS"  :  "utm_cp"
"WEBFILTER_SERVER_ERROR"  :  "utm_cp"
"WEBFILTER_SERVER_ERROR_LS"  :  "utm_cp"
"WEBFILTER_SERVER_NOT_TALKING"  :  "utm_cp"
"WEBFILTER_SERVER_NOT_TALKING_LS"  :  "utm_cp"
"ANTISPAM_SPAM_DETECTED_MT"  :  "antispam"
"ANTISPAM_SPAM_DETECTED_MT_LS"  :  "antispam"
"RT_SCREEN_ICMP"  :  "screen"
"RT_SCREEN_ICMP_LS"  :  "screen"
"RT_SCREEN_IP"  :  "screen"
"RT_SCREEN_IP_LS"  :  "screen"
"RT_SCREEN_SESSION_LIMIT"  :  "screen"
"RT_SCREEN_SESSION_LIMIT_LS"  :  "screen"
"RT_SCREEN_TCP"  :  "screen"
"RT_SCREEN_TCP_DST_IP"  :  "screen"
"RT_SCREEN_TCP_DST_IP_LS"  :  "screen"
"RT_SCREEN_TCP_LS"  :  "screen"
"RT_SCREEN_TCP_SRC_IP"  :  "screen"
"RT_SCREEN_TCP_SRC_IP_LS"  :  "screen"
"RT_SCREEN_UDP"  :  "screen"
"RT_SCREEN_UDP_LS"  :  "screen"
"RT_SCREEN_WHITE_LIST"  :  "screen"
"RT_SCREEN_WHITE_LIST_LS"  :  "screen"
"SECINTEL_ACTION_LOG"  :  "firewall"
"SECINTEL_ACTION_LOG_LS"  :  "firewall"
"AAMW_ACTION_LOG"  :  "firewall"
